country,date,cases,deaths,new_cases,new_deaths,last_update
Cyprus,2020-04-20,772,12,-315,-24,2020-07-01T21:43:55Z
Czechia,2020-04-20,6900,194,6128,182,2020-07-01T21:43:55Z
Denmark,2020-04-20,7711,364,811,170,2020-07-01T21:43:55Z
Djibouti,2020-04-20,846,2,-6865,-362,2020-07-01T21:43:55Z
Dominica,2020-04-20,16,0,-830,-2,2020-07-01T21:43:55Z
Ecuador,2020-04-20,10128,507,10112,507,2020-07-01T21:43:55Z
Egypt,2020-04-20,3333,250,-6795,-257,2020-07-01T21:43:55Z
Eritrea,2020-04-20,39,0,-3294,-250,2020-07-01T21:43:55Z
Estonia,2020-04-20,1535,40,1496,40,2020-07-01T21:43:55Z
Ethiopia,2020-04-20,111,3,-1424,-37,2020-07-01T21:43:55Z
Fiji,2020-04-20,18,0,-93,-3,2020-07-01T21:43:55Z
Finland,2020-04-20,3868,98,3850,98,2020-07-01T21:43:55Z
France,2020-04-20,155393,20267,151525,20169,2020-07-01T21:43:55Z
Gabon,2020-04-20,120,1,-155273,-20266,2020-07-01T21:43:55Z
Gambia,2020-04-20,10,1,-110,0,2020-07-01T21:43:55Z
Georgia,2020-04-20,402,4,392,3,2020-07-01T21:43:55Z
Germany,2020-04-20,147065,4862,146663,4858,2020-07-01T21:43:55Z
Ghana,2020-04-20,1042,9,-146023,-4853,2020-07-01T21:43:55Z
Greece,2020-04-20,2245,116,1203,107,2020-07-01T21:43:55Z
Grenada,2020-04-20,14,0,-2231,-116,2020-07-01T21:43:55Z
Guatemala,2020-04-20,289,7,275,7,2020-07-01T21:43:55Z
Guinea,2020-04-20,622,5,333,-2,2020-07-01T21:43:55Z
Guinea-Bissau,2020-04-20,50,0,-572,-5,2020-07-01T21:43:55Z
Guyana,2020-04-20,65,7,15,7,2020-07-01T21:43:55Z
Haiti,2020-04-20,57,3,-8,-4,2020-07-01T21:43:55Z
Honduras,2020-04-20,477,46,420,43,2020-07-01T21:43:55Z
Hungary,2020-04-20,1984,199,1507,153,2020-07-01T21:43:55Z
Iceland,2020-04-20,1773,10,-211,-189,2020-07-01T21:43:55Z
India,2020-04-20,18539,592,16766,582,2020-07-01T21:43:55Z
Indonesia,2020-04-20,6760,590,-11779,-2,2020-07-01T21:43:55Z
Iran,2020-04-20,83505,5209,76745,4619,2020-07-01T21:43:55Z
Iraq,2020-04-20,1574,82,-81931,-5127,2020-07-01T21:43:55Z
Ireland,2020-04-20,15652,687,14078,605,2020-07-01T21:43:55Z
Israel,2020-04-20,13713,177,-1939,-510,2020-07-01T21:43:55Z
Italy,2020-04-20,181228,24114,167515,23937,2020-07-01T21:43:55Z
Jamaica,2020-04-20,223,5,-181005,-24109,2020-07-01T21:43:55Z
Japan,2020-04-20,10797,236,10574,231,2020-07-01T21:43:55Z
Jordan,2020-04-20,425,7,-10372,-229,2020-07-01T21:43:55Z
Kazakhstan,2020-04-20,1852,19,1427,12,2020-07-01T21:43:55Z
Kenya,2020-04-20,281,14,-1571,-5,2020-07-01T21:43:55Z
Kuwait,2020-04-20,1995,9,1714,-5,2020-07-01T21:43:55Z
Kyrgyzstan,2020-04-20,568,7,-1427,-2,2020-07-01T21:43:55Z
Latvia,2020-04-20,739,5,171,-2,2020-07-01T21:43:55Z
Lebanon,2020-04-20,677,21,-62,16,2020-07-01T21:43:55Z
Lesotho,2020-04-20,0,0,-677,-21,2020-07-01T21:43:55Z
Liberia,2020-04-20,99,8,99,8,2020-07-01T21:43:55Z
Libya,2020-04-20,51,1,-48,-7,2020-07-01T21:43:55Z
Liechtenstein,2020-04-20,81,1,30,0,2020-07-01T21:43:55Z
Lithuania,2020-04-20,1326,37,1245,36,2020-07-01T21:43:55Z
Luxembourg,2020-04-20,3558,75,2232,38,2020-07-01T21:43:55Z
Madagascar,2020-04-20,121,0,-3437,-75,2020-07-01T21:43:55Z
Malawi,2020-04-20,17,2,-104,2,2020-07-01T21:43:55Z
Malaysia,2020-04-20,5425,89,5408,87,2020-07-01T21:43:55Z
Maldives,2020-04-20,69,0,-5356,-89,2020-07-01T21:43:55Z
Mali,2020-04-20,246,14,177,14,2020-07-01T21:43:55Z
Malta,2020-04-20,431,3,185,-11,2020-07-01T21:43:55Z
Mauritania,2020-04-20,7,1,-424,-2,2020-07-01T21:43:55Z
Mauritius,2020-04-20,328,9,321,8,2020-07-01T21:43:55Z
Mexico,2020-04-20,8772,712,8444,703,2020-07-01T21:43:55Z
Monaco,2020-04-20,94,3,-8678,-709,2020-07-01T21:43:55Z
Mongolia,2020-04-20,33,0,-61,-3,2020-07-01T21:43:55Z
Montenegro,2020-04-20,312,5,279,5,2020-07-01T21:43:55Z
Morocco,2020-04-20,3046,143,2734,138,2020-07-01T21:43:55Z
Mozambique,2020-04-20,39,0,-3007,-143,2020-07-01T21:43:55Z
Namibia,2020-04-20,16,0,-23,0,2020-07-01T21:43:55Z
